l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
6,5,0,6,4,0,8,-38,0,-0.0023528837416548717,0.002095241425916125,0.00025734515072663107,-2.9716501211531424e-07,3.50338058832495,1,38,3.50338058832495,3033.9298564557107
6,2,0,3,2,0,9,-85,0,-0.0015790857886420345,0.0014462919592611418,0.00013313842120550487,3.445918246120991e-07,5.121517586405214,1,85,5.121517586405214,1935.8514070859853
0,5,0,6,-10,0,6,-4,0,-0.0016579761203197167,0.0006371917606975896,0.0010207625668623673,-2.179275975975302e-08,0.5026115074115659,1,10,0.5026115074115659,23068.819576449285
2,5,0,3,4,0,5,-47,0,-0.0020671941991908453,0.0019293062769633813,0.00013747047152902394,-4.174506984398925e-07,6.949643445961626,1,47,6.949643445961626,2288.577628982149
6,5,0,0,7,0,6,-32,0,-0.0023528837416548717,0.0021204201710575787,0.0002327389276888432,2.753570915504412e-07,3.1787397393937007,1,32,3.1787397393937007,2686.7529094494707
6,4,0,5,3,0,11,-43,0,-0.002095241425916125,0.001790781810623974,0.0003049814942377755,5.21878945624471e-07,8.46510300245326,1,43,8.46510300245326,4946.930828337097
1,7,0,5,4,0,6,-44,0,-0.002215705167770865,0.002043085918592437,0.0001731335598397863,5.143106613582533e-07,7.904849213008648,1,44,7.904849213008648,2661.0265453400743
4,5,0,6,4,0,10,-87,0,-0.0022367954459129313,0.002095241425916125,0.0001436027284754028,2.04870847859669e-06,21.058716887430855,1,87,21.058716887430855,1475.2743382875628
4,5,0,5,4,0,9,-58,0,-0.0022367954459129313,0.002043085918592437,0.0001926659669178303,-1.0435604026639948e-06,11.588265511995692,1,58,11.588265511995692,2139.4485603703533
1,4,0,6,-1,0,7,-47,0,-0.0014878228371177796,0.0013005434184394844,0.0001865733007850629,-7.061178932323432e-07,10.52755652928176,1,47,10.52755652928176,2781.6309154655187
5,-3,0,6,-9,0,11,-45,0,-0.0009983082697128877,0.0007043203605525969,0.0002940237523438102,3.5843183519325417e-08,0.7828163014138896,1,45,0.7828163014138896,6420.232433337997
6,5,0,3,5,0,9,-62,0,-0.0023528837416548717,0.002171276389406632,0.00018072563280527846,-8.81719442961254e-07,8.316508752796665,1,62,8.316508752796665,1704.5795622712878
4,5,0,6,4,0,10,-90,0,-0.0022367954459129313,0.002095241425916125,0.00013885012690347104,-2.70389309333513e-06,26.61465529447811,1,90,26.61465529447811,1365.4315723539266
4,5,0,6,4,0,8,-71,0,-0.0022367954459129313,0.002095241425916125,0.00014210973569242806,5.55715695621864e-07,7.507509415560991,1,71,7.507509415560991,1919.3724112707418
4,4,0,6,3,0,8,-68,0,-0.001988761015099475,0.0018395688730973574,0.00014858430539033436,-6.078366117830136e-07,9.148650438424887,1,68,9.148650438424887,2236.025703733363
4,0,0,6,-4,0,10,-61,0,-0.0012229835463714977,0.0010207625668623673,0.00020279404421318068,5.730647040503006e-07,9.977643879335066,1,61,9.977643879335066,3530.6370475961385
1,7,0,6,4,0,7,-73,0,-0.002215705167770865,0.002095241425916125,0.0001223130879411534,1.8493460864133816e-06,18.43163533374515,1,73,18.43163533374515,
5,4,0,6,3,0,11,-67,0,-0.002043085918592437,0.0018395688730973574,0.000202378170898917,-1.1388745961627735e-06,13.747934302820976,1,67,13.747934302820976,2442.950675373893
4,4,0,2,4,0,6,-54,0,-0.001988761015099475,0.0018458787080848657,0.00014220078000247392,-6.815270121355264e-07,9.2118638290939,1,54,9.2118638290939,1922.0390585784046
4,-7,0,25,-96,0,25,-93,0,-0.0006249595622788431,0.0003078753455866745,0.00031707515551487246,-9.061177296118203e-09,0.29679508854250186,1,96,0.29679508854250186,688.2102149217175
4,5,0,2,5,0,6,-45,0,-0.0022367954459129313,0.0020671941991908453,0.00016991193198986196,3.106852677760112e-07,5.611870019622896,1,45,5.611870019622896,3069.091210096508
3,-6,0,11,-48,0,14,-56,0,-0.0005767572162567792,0.00027735792497370705,0.0002994131217207442,1.383043767206639e-08,0.48847056614004786,1,56,0.48847056614004786,10340.162728845196
5,3,0,6,1,0,11,-62,0,-0.001790781810623974,0.0015742472041819552,0.0002175901832802123,1.0555768381935535e-06,12.886174217274606,1,62,12.886174217274606,2656.2284840321463
3,-2,0,6,-7,0,9,-85,0,-0.000926169843396888,0.000793038386068713,0.00013313842120550487,6.963877329825563e-09,0.15255361903043096,2,85,0.15255361903043096,277.0862486941673
1,6,0,4,-28,0,5,3,0,-0.0019747070189232627,0.00018386835702348858,0.001790781810623974,-5.685127580029939e-08,4.751380539653447,1,28,4.751380539653447,20048.62412838974
3,2,0,6,-1,0,9,-78,0,-0.0014462919592611418,0.0013005434184394844,0.00014459897206269177,-1.1495687589656908e-06,15.960251513340596,1,78,15.960251513340596,2006.7001388029705
3,-6,0,3,-25,0,6,-17,0,-0.0005767572162567792,0.0001607908235758249,0.0004159746929139097,8.300232955376491e-09,-0.2878652880258488,1,25,0.2878652880258488,14426.660100302961
4,-7,0,22,-88,0,22,-79,0,-0.0006249595622788431,0.0002968174702402435,0.00032815642807228955,1.4336033690026673e-08,-0.45697663165360286,1,88,0.45697663165360286,4369.999224521677
2,2,0,4,0,0,6,-47,0,-0.0013846263257445758,0.0012229835463714977,0.00016214819568003062,5.054163069524893e-07,7.197809763064686,1,47,7.197809763064686,2309.205082377165
1,5,0,6,1,0,7,-55,0,-0.001734103264389586,0.0015742472041819552,0.00016083419036462692,9.781301569960783e-07,11.59293226579432,1,55,11.59293226579432,1906.2226259055235
6,5,0,6,4,0,10,-47,0,-0.0023528837416548717,0.002095241425916125,0.00025820519755461325,5.628818158668128e-07,4.829795584338812,1,47,4.829795584338812,2215.5220753610083
5,4,0,6,3,0,11,-66,0,-0.002043085918592437,0.0018395688730973574,0.00020500505084949903,1.4880053544196088e-06,15.492578536353868,1,66,15.492578536353868,2134.394670868845
1,5,0,5,2,0,6,-37,0,-0.001734103264389586,0.0015302335921351087,0.0002044480348769168,5.783626224394479e-07,7.364425410547628,1,37,7.364425410547628,2603.284166707824
1,5,0,5,-40,0,6,1,0,-0.001734103264389586,0.00016047342241587147,0.0015742472041819552,6.173622082406797e-07,7.71234252381235,1,40,7.71234252381235,19114.636872259496
3,4,0,4,-38,0,5,3,0,-0.0019293062769633813,0.00013828294950428638,0.001790781810623974,-2.4151683512092445e-07,5.1624397493897485,1,38,5.1624397493897485,19061.823440920864
4,0,0,4,-3,0,8,-37,0,-0.0012229835463714977,0.000957819766706302,0.0002648169303867513,-3.468492784444721e-07,5.398015086911742,1,37,5.398015086911742,4121.345336753834
3,3,0,4,2,0,7,-44,0,-0.0016875888535549334,0.0014879160161311994,0.00019915267403055605,-5.201633931780584e-07,6.486966028562678,1,44,6.486966028562678,2483.635544589961
6,2,0,6,-1,0,12,-52,0,-0.0015790857886420345,0.0013005434184394844,0.00027883313709703493,2.907668944847775e-07,3.447061711074854,1,52,3.447061711074854,3305.530153807853
5,5,0,3,5,0,8,-82,0,-0.0022961841876560085,0.002171276389406632,0.00012334866330638108,-1.5591349429950815e-06,13.002917936460053,1,82,13.002917936460053,1028.1705874207314
0,8,0,6,-28,0,6,4,0,-0.002359676960396333,0.0002637978695571925,0.002095241425916125,-6.376649230154657e-07,5.136597291154843,1,28,5.136597291154843,11157.271567029871
5,4,0,2,0,0,5,-3,0,-0.002043085918592437,0.0010448703139708233,0.0009983082697128877,9.266509127430281e-08,1.6132922888577144,1,4,1.6132922888577144,17374.05123126866
4,3,0,6,1,0,10,-74,0,-0.0017407293441252403,0.0015742472041819552,0.00016796948001705873,1.487340073773498e-06,15.942219045320677,1,74,15.942219045320677,1800.203734182035
5,1,0,6,-1,0,11,-73,0,-0.0014871323890410233,0.0013005434184394844,0.00018631686472648368,-2.721058750551966e-07,3.2860280201823677,1,73,3.2860280201823677,2243.2939728158335
5,5,0,6,4,0,11,-67,0,-0.0022961841876560085,0.002095241425916125,0.000202378170898917,1.4354091590336286e-06,11.331837668713243,1,67,11.331837668713243,1597.65013860509
1,6,0,6,3,0,7,-65,0,-0.0019747070189232627,0.0018395688730973574,0.00013709670334849784,1.9585575225925834e-06,18.27343806441694,1,65,18.27343806441694,1279.103641182425
2,6,0,4,4,0,6,-58,0,-0.002122306963237751,0.001988761015099475,0.00013266487027409726,-8.810778641785318e-07,7.505962416301563,1,58,7.505962416301563,1130.1650484242934
4,4,0,6,3,0,10,-82,0,-0.001988761015099475,0.0018395688730973574,0.00015200528287949772,2.8131408773800215e-06,25.283147813949338,1,82,25.283147813949338,1365.9221387779637
1,4,0,4,-41,0,5,0,0,-0.0014878228371177796,0.00012898902298240483,0.0013588886067690343,5.4792633659428436e-08,0.6938992486333375,1,41,0.6938992486333375,17208.868111874744
