l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
6,4,0,6,3,0,12,-125,0,-0.0018116043345837844,0.0016975480317716182,0.00011405050471478302,-5.7980973830733945e-09,0.0703079178492667,1,125,0.0703079178492667,30.805780459049476
1,7,0,5,4,0,6,-48,0,-0.0019182614902478053,0.0017666927178038535,0.0001515064539046481,-6.231853930376702e-08,7.393687572919785,1,48,7.393687572919785,17974.076603018857
6,5,0,6,4,0,12,-62,0,-0.0020351783964062515,0.0018116043345837844,0.0002246310305602725,1.0569687378053985e-06,10.525479845823172,1,62,10.525479845823172,2236.896790111562
6,5,0,3,5,0,7,-54,0,-0.0020351783964062515,0.0018791792959005039,0.00015571037442054544,-2.887260852021435e-07,3.274689590959228,1,54,3.274689590959228,1766.0119638037795
5,4,0,6,2,0,11,-74,0,-0.0017666927178038535,0.0015907002056791103,0.00017507398797129362,-9.18524153449736e-07,13.080810628111902,1,74,13.080810628111902,2493.1811622999835
2,2,0,5,-1,0,7,-75,0,-0.00120515078399613,0.0010910354688303623,0.00011343798938888974,-6.773257768780561e-07,10.684184196436156,1,75,10.684184196436156,1789.1813330029677
5,4,0,6,2,0,11,-73,0,-0.0017666927178038535,0.0015907002056791103,0.000177000225441635,1.0077133168917996e-06,13.690147982656246,1,73,13.690147982656246,2404.542538091063
2,6,0,3,5,0,5,-50,0,-0.0020022479995732987,0.0018791792959005039,0.00012363874288160353,5.700392088085933e-07,5.941946829646487,1,50,5.941946829646487,1288.77552300438
6,4,0,3,4,0,9,-76,0,-0.0018116043345837844,0.0016697023644453982,0.00014116739722521386,-7.345729131722628e-07,11.188204331730905,1,76,11.188204331730905,2149.928155177038
1,4,0,5,-37,0,6,-1,0,-0.0012960421937048758,0.00016478564411989834,0.0011309737734404898,-2.8277614448754193e-07,4.074572214598038,1,37,4.074572214598038,16295.611458835443
1,5,0,3,-17,0,4,1,0,-0.0015032438859202853,0.00022062201701875383,0.0012825574052606177,-6.446364091377936e-08,1.2734041038629549,1,17,1.2734041038629549,18075.3118788511
2,3,0,4,1,0,6,-63,0,-0.001398386150657986,0.0012825574052606177,0.00011654568519412879,7.16939796760593e-07,9.351770052839267,1,63,9.351770052839267,1520.1866147764495
0,7,0,4,-43,0,4,4,0,-0.001837851339960868,0.00011729379820181673,0.0017201142970912078,-4.432446678434218e-07,8.925533825566648,1,43,8.925533825566648,16815.37712054015
6,5,0,6,4,0,8,-42,0,-0.0020351783964062515,0.0018116043345837844,0.000223344019713922,-2.3004210854488463e-07,2.5115093455783684,1,42,2.5115093455783684,2438.3803936411628
4,5,0,5,4,0,9,-63,0,-0.0019351014156810539,0.0017666927178038535,0.00016934013310250206,9.314352253017837e-07,10.339081959037594,1,63,10.339081959037594,1879.677907374773
5,5,0,3,5,0,8,-89,0,-0.0019862555038104063,0.0018791792959005039,0.00010833496222403164,1.2587543141290292e-06,11.5993469667876,1,89,11.5993469667876,997.7077599958712
4,1,0,1,3,0,5,-51,0,-0.0012825574052606177,0.0011616347408751621,0.00012109277518300595,1.701107975502457e-07,2.4060302895196974,1,51,2.4060302895196974,1712.6837432300042
4,3,0,2,3,0,6,-68,0,-0.00150612480128053,0.001398386150657986,0.00010834756385379807,6.089132312541053e-07,7.641338785230494,1,68,7.641338785230494,1359.6137547340934
6,4,0,5,3,0,11,-48,0,-0.0018116043345837844,0.001548847611724769,0.0002632592924629267,5.025696039114447e-07,7.353421785809219,1,48,7.353421785809219,3851.9139979467395
4,4,0,6,2,0,10,-94,0,-0.0017201142970912078,0.0015907002056791103,0.00012678976842379558,-2.6243229883020185e-06,26.558338464881754,1,94,26.558338464881754,1282.739306172731
6,2,0,3,3,0,9,-84,0,-0.0015907002056791103,0.0014614673184444634,0.00012819429044788998,-1.0385967867568117e-06,12.131894943546612,1,84,12.131894943546612,1497.1503317564768
4,5,0,3,4,0,5,-22,0,-0.0019351014156810539,0.0016697023644453982,0.00026538295818991607,-1.6093045739551046e-08,0.998953337861617,1,22,0.998953337861617,16473.271739496624
5,-1,0,4,-3,0,9,-40,0,-0.0010910354688303623,0.0008319887161776548,0.0002593869045229939,3.401518702864613e-07,5.005605870151022,1,40,5.005605870151022,3817.083145992943
6,5,0,1,7,0,7,-73,0,-0.0020351783964062515,0.0019182614902478053,0.00011622023727642714,-6.966688820188999e-07,5.638030868458095,1,73,5.638030868458095,940.4557995986986
3,5,0,5,4,0,8,-87,0,-0.0018791792959005039,0.0017666927178038535,0.00011085531762065735,-1.6312604759929732e-06,15.341587804401295,1,87,15.341587804401295,1042.4351331361042
5,5,0,6,4,0,9,-61,0,-0.0019862555038104063,0.0018116043345837844,0.0001749989364989466,3.4776727232460267e-07,4.5675117821357984,1,61,4.5675117821357984,2298.336150061494
3,1,0,4,-1,0,7,-75,0,-0.0011691878228487144,0.0010553705459852385,0.00011343798938888974,-3.792874745862408e-07,5.129591158773494,1,75,5.129591158773494,1533.627808685635
4,4,0,2,4,0,6,-62,0,-0.0017201142970912078,0.0016007680175258506,0.00011867868913644012,-6.675904289171145e-07,8.4680579881056,1,62,8.4680579881056,1505.3535231051567
2,2,0,5,-1,0,7,-74,0,-0.00120515078399613,0.0010910354688303623,0.00011479902496309149,6.837097973238018e-07,8.947530343472021,1,74,8.947530343472021,1502.258295309521
3,1,0,5,-2,0,8,-82,0,-0.0011691878228487144,0.0010518133842167875,0.00011751238559390455,1.379469619776797e-07,1.8566841187633063,1,82,1.8566841187633063,1562.7898205135145
3,2,0,5,-49,0,6,-1,0,-0.001257209295342265,0.00012644473479723014,0.0011309737734404898,2.0921289545488414e-07,2.637233142165816,1,49,2.637233142165816,14255.223164715035
5,5,0,3,5,0,6,-69,0,-0.0019862555038104063,0.0018791792959005039,0.00010673964786981142,-3.3656004009077756e-07,4.3507648199303555,1,69,4.3507648199303555,1379.4379811010717
4,5,0,6,4,0,10,-99,0,-0.0019351014156810539,0.0018116043345837844,0.00012035139470518855,-3.1456863920809475e-06,24.969264890370056,1,99,24.969264890370056,954.7395001868143
4,4,0,6,2,0,8,-74,0,-0.0017201142970912078,0.0015907002056791103,0.0001299860655487273,5.719741366298596e-07,7.47850063286366,1,74,7.47850063286366,1699.4223902211422
3,3,0,4,2,0,7,-63,0,-0.0014614673184444634,0.0013269608486436745,0.0001342793538108097,-2.271159899793363e-07,2.5279315836522676,1,63,2.5279315836522676,1494.246277147823
