l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
2,2,0,3,2,-15,-0.00120515078399613,0.001025482836392379,0.0001737630450045982,-5.904902599152689e-06,0.004899720995552745
2,2,0,3,2,-14,-0.00120515078399613,0.001025482836392379,0.0001885234090948795,8.855461491128619e-06,0.007348011227080657
2,2,0,3,2,-13,-0.00120515078399613,0.001025482836392379,0.00020158420456533577,2.1916256961584685e-05,0.01818548952763662
2,3,0,3,2,-7,-0.001398386150657986,0.001025482836392379,0.00036548534635848706,-7.417967907119918e-06,0.00530466345338841
2,4,0,3,2,-4,-0.0016007680175258506,0.001025482836392379,0.0005659996358194934,-9.285545313978153e-06,0.00580068143061098
2,5,0,3,2,-1,-0.0018048401012071306,0.001025482836392379,0.0008049596223678302,2.5602357553078728e-05,0.014185388243509832
2,7,0,3,2,1,-0.0020529873759919655,0.001025482836392379,0.0010519899754354604,2.4485435835874206e-05,0.011926734729210547
2,3,0,4,2,-18,-0.001398386150657986,0.0012318460189154454,0.00014734509052947991,-1.9195041213060805e-05,0.013726567017292695
2,3,0,4,2,-17,-0.001398386150657986,0.0012318460189154454,0.0001574463929714064,-9.093738771134277e-06,0.00650302405158645
2,3,0,4,2,-16,-0.001398386150657986,0.0012318460189154454,0.000164141180292411,-2.398951450129647e-06,0.0017155143084053447
2,3,0,4,2,-15,-0.001398386150657986,0.0012318460189154454,0.0001737630450045982,7.222913262057646e-06,0.005165177915026569
2,3,0,4,2,-14,-0.001398386150657986,0.0012318460189154454,0.0001885234090948795,2.1983277352338954e-05,0.015720462721970686
2,4,0,4,2,-7,-0.0016007680175258506,0.0012318460189154454,0.00036548534635848706,-3.4366522519181653e-06,0.002146877132908902
2,5,0,4,2,-4,-0.0018048401012071306,0.0012318460189154454,0.0005659996358194934,-6.994446472191867e-06,0.0038753829037341168
2,7,0,4,2,-1,-0.0020529873759919655,0.0012318460189154454,0.0008049596223678302,-1.6181734708689815e-05,0.007882042967200955
2,4,0,5,2,-19,-0.0016007680175258506,0.0014376844518621038,0.0001390840054335191,-2.3999560230227686e-05,0.014992528565957635
2,4,0,5,2,-18,-0.0016007680175258506,0.0014376844518621038,0.00014734509052947991,-1.573847513426695e-05,0.009831827573986866
2,4,0,5,2,-17,-0.0016007680175258506,0.0014376844518621038,0.0001574463929714064,-5.637172692340422e-06,0.0035215425537132136
2,4,0,5,2,-16,-0.0016007680175258506,0.0014376844518621038,0.000164141180292411,1.0576146286642076e-06,0.0006606920035164486
2,4,0,5,2,-15,-0.0016007680175258506,0.0014376844518621038,0.0001737630450045982,1.06794793408515e-05,0.0066714722082951905
2,4,0,5,2,-14,-0.0016007680175258506,0.0014376844518621038,0.0001885234090948795,2.543984343113281e-05,0.01589227367901357
2,5,0,5,2,-7,-0.0018048401012071306,0.0014376844518621038,0.00036548534635848706,-1.6703029865397772e-06,0.0009254575989433242
2,6,0,5,2,-4,-0.0020022479995732987,0.0014376844518621038,0.0005659996358194934,1.4360881082984937e-06,0.0007172378789263568
2,5,0,6,2,-18,-0.0018048401012071306,0.0016373163861810895,0.00014734509052947991,-2.017862449656127e-05,0.011180283773097243
2,5,0,6,2,-17,-0.0018048401012071306,0.0016373163861810895,0.0001574463929714064,-1.0077322054634743e-05,0.005583498531473636
2,5,0,6,2,-16,-0.0018048401012071306,0.0016373163861810895,0.000164141180292411,-3.382534733630113e-06,0.0018741464860891407
2,5,0,6,2,-15,-0.0018048401012071306,0.0016373163861810895,0.0001737630450045982,6.239329978556963e-06,0.0034569987526229685
2,5,0,6,2,-14,-0.0018048401012071306,0.0016373163861810895,0.0001885234090948795,2.099969406883827e-05,0.011635210263110318
2,6,0,6,2,-7,-0.0020022479995732987,0.0016373163861810895,0.00036548534635848706,5.537329662778749e-07,0.0002765556346645778
2,7,0,6,2,-6,-0.0020529873759919655,0.0016373163861810895,0.00040248240442231087,-1.3188585388565228e-05,0.006424094732775816
2,6,0,7,2,-19,-0.0020022479995732987,0.001837851339960868,0.0001390840054335191,-2.5312654178911553e-05,0.012642117352249052
2,6,0,7,2,-18,-0.0020022479995732987,0.001837851339960868,0.00014734509052947991,-1.70515690829506e-05,0.008516212320643837
2,6,0,7,2,-17,-0.0020022479995732987,0.001837851339960868,0.0001574463929714064,-6.950266641024289e-06,0.0034712316568704118
2,6,0,7,2,-16,-0.0020022479995732987,0.001837851339960868,0.000164141180292411,-2.554793200196595e-07,0.0001275962418612005
2,6,0,7,2,-15,-0.0020022479995732987,0.001837851339960868,0.0001737630450045982,9.366385392167633e-06,0.0046779346984807645
2,6,0,7,2,-14,-0.0020022479995732987,0.001837851339960868,0.0001885234090948795,2.412674948244894e-05,0.012049830734050238
2,7,0,7,2,-14,-0.0020529873759919655,0.001837851339960868,0.0001885234090948795,-2.661262693621786e-05,0.012962878996447375
2,7,0,7,2,-13,-0.0020529873759919655,0.001837851339960868,0.00020158420456533577,-1.3551831465761794e-05,0.006601030100934644
2,7,0,7,2,-12,-0.0020529873759919655,0.001837851339960868,0.0002127844953033229,-2.351540727774451e-06,0.0011454238614780716
2,7,0,7,2,-11,-0.0020529873759919655,0.001837851339960868,0.00023508466203479812,1.99486260037008e-05,0.009716877091882747
0,7,3,-27,3,4,-0.001837851339960868,0.00014224919894047566,0.0016697023644453982,-2.5899776574993998e-05,0.014092421955926785
0,8,3,-27,3,5,-0.002045386024107556,0.00014224919894047566,0.0018791792959005039,-2.3957529266576544e-05,0.011712962239990717
0,7,3,-26,3,4,-0.001837851339960868,0.00014651788827626435,0.0016697023644453982,-2.163108723920548e-05,0.011769769822441708
0,8,3,-26,3,5,-0.002045386024107556,0.00014651788827626435,0.0018791792959005039,-1.9688839930787592e-05,0.009625977541025899
0,6,3,-25,3,3,-0.0016373163861810895,0.0001513295028059405,0.0014614673184444634,-2.4519564930685538e-05,0.014975459317227916
0,7,3,-25,3,4,-0.001837851339960868,0.0001513295028059405,0.0016697023644453982,-1.6819472709529238e-05,0.009151704680253062
0,8,3,-25,3,5,-0.002045386024107556,0.0001513295028059405,0.0018791792959005039,-1.4877225401111784e-05,0.007273553855245013
0,5,3,-24,3,2,-0.0014376844518621038,0.00015869942884795936,0.001257209295342265,-2.1775727671879486e-05,0.015146388794617162
0,6,3,-24,3,3,-0.0016373163861810895,0.00015869942884795936,0.0014614673184444634,-1.7149638888666737e-05,0.01047423639890816
0,7,3,-24,3,4,-0.001837851339960868,0.00015869942884795936,0.0016697023644453982,-9.449546667510437e-06,0.005141627324281647
0,8,3,-24,3,5,-0.002045386024107556,0.00015869942884795936,0.0018791792959005039,-7.507299359092549e-06,0.0036703581967458387
0,5,3,-23,3,2,-0.0014376844518621038,0.0001652789603087609,0.001257209295342265,-1.5196196211077857e-05,0.010569910658347585
0,6,3,-23,3,3,-0.0016373163861810895,0.0001652789603087609,0.0014614673184444634,-1.0570107427865108e-05,0.006455751323981461
0,7,3,-23,3,4,-0.001837851339960868,0.0001652789603087609,0.0016697023644453982,-2.870015206708808e-06,0.0015616144485167756
0,8,3,-23,3,5,-0.002045386024107556,0.0001652789603087609,0.0018791792959005039,-9.27767898291354e-07,0.0004535906119218538
0,4,3,-22,3,0,-0.0012318460189154454,0.00017036839624161375,0.0010392276866836483,-2.2249935990183373e-05,0.018062270485537546
0,5,3,-22,3,2,-0.0014376844518621038,0.00017036839624161375,0.001257209295342265,-1.0106760278225102e-05,0.007029887723369841
0,6,3,-22,3,3,-0.0016373163861810895,0.00017036839624161375,0.0014614673184444634,-5.4806714950123535e-06,0.0033473502991047347
0,7,3,-22,3,4,-0.001837851339960868,0.00017036839624161375,0.0016697023644453982,2.2194207261439468e-06,0.0012076171112899716
0,8,3,-22,3,5,-0.002045386024107556,0.00017036839624161375,0.0018791792959005039,4.161668034561618e-06,0.002034661421125843
0,4,3,-21,3,0,-0.0012318460189154454,0.00017945304255902246,0.0010392276866836483,-1.3165289672774578e-05,0.010687447514232094
0,5,3,-21,3,2,-0.0014376844518621038,0.00017945304255902246,0.001257209295342265,-1.0221139608163066e-06,0.0007109445744457026
0,6,3,-21,3,3,-0.0016373163861810895,0.00017945304255902246,0.0014614673184444634,3.603974822396442e-06,0.0022011474708333112
0,7,3,-21,3,4,-0.001837851339960868,0.00017945304255902246,0.0016697023644453982,1.1304067043552742e-05,0.006150697174339156
0,8,3,-21,3,5,-0.002045386024107556,0.00017945304255902246,0.0018791792959005039,1.3246314351970413e-05,0.006476192853498181
0,4,3,-20,3,0,-0.0012318460189154454,0.00018919061777916284,0.0010392276866836483,-3.427714452634281e-06,0.0027825835372282527
0,5,3,-20,3,2,-0.0014376844518621038,0.00018919061777916284,0.001257209295342265,8.71546125932399e-06,0.006062151710714847
0,6,3,-20,3,3,-0.0016373163861810895,0.00018919061777916284,0.0014614673184444634,1.3341550042536739e-05,0.008148425163968978
0,7,3,-20,3,4,-0.001837851339960868,0.00018919061777916284,0.0016697023644453982,2.104164226369304e-05,0.011449044765579931
0,8,3,-20,3,5,-0.002045386024107556,0.00018919061777916284,0.0018791792959005039,2.298388957211071e-05,0.011236944665317664
0,4,3,-19,3,0,-0.0012318460189154454,0.0001955067644285407,0.0010392276866836483,2.8884321967436073e-06,0.00234479971716487
0,5,3,-19,3,2,-0.0014376844518621038,0.0001955067644285407,0.001257209295342265,1.5031607908701878e-05,0.010455429137619722
0,6,3,-19,3,3,-0.0016373163861810895,0.0001955067644285407,0.0014614673184444634,1.9657696691914627e-05,0.012006046514787923
0,4,3,-18,3,0,-0.0012318460189154454,0.00020650327005518793,0.0010392276866836483,1.3884937823390809e-05,0.011271650523021967
0,5,3,-18,3,2,-0.0014376844518621038,0.00020650327005518793,0.001257209295342265,2.602811353534908e-05,0.01810419073645625
0,4,3,-17,3,-1,-0.0012318460189154454,0.00022062201701875383,0.0009939560760100293,-1.7267925886662325e-05,0.01401792563478472
0,4,3,-16,3,-1,-0.0012318460189154454,0.0002306477657845681,0.0009939560760100293,-7.242177120847905e-06,0.005879125320568993
