l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,1,2,-8,2,-6,-0.000738948454077827,0.0003326425567156908,0.00042506408290257934,1.8758185540443157e-05,0.025384971626813257
0,2,2,-8,2,-4,-0.0009538753378151529,0.0003326425567156908,0.0006184286779740842,-2.804103125377943e-06,0.002939695591460335
0,1,2,-7,2,-7,-0.000738948454077827,0.00036286508921045974,0.00036286508921045974,-1.3218275656907519e-05,0.017887953596713732
0,2,2,-7,2,-4,-0.0009538753378151529,0.00036286508921045974,0.0006184286779740842,2.7418429369391144e-05,0.02874424810289459
0,4,2,-7,2,0,-0.00142210207358038,0.00036286508921045974,0.0010448703139708233,-1.4366670399096945e-05,0.010102418571774139
0,2,2,-6,2,-5,-0.0009538753378151529,0.00042506408290257934,0.0005139207856115777,-1.4890469300995893e-05,0.015610498259764682
0,3,2,-6,2,-2,-0.0011860096719051476,0.00042506408290257934,0.0007709839009291044,1.0038311926536007e-05,0.008463937659471997
0,3,2,-5,2,-3,-0.0011860096719051476,0.0005139207856115777,0.0006883901588102036,1.630127251663364e-05,0.013744637082468373
0,4,2,-5,2,-1,-0.00142210207358038,0.0005139207856115777,0.000894883579030094,-1.3297708938708307e-05,0.00935074154362851
0,6,2,-5,2,2,-0.0018886592089966776,0.0005139207856115777,0.0013846263257445758,9.88790235947586e-06,0.005235408438099672
0,7,2,-5,2,3,-0.0021204201710575787,0.0005139207856115777,0.0016105693803172012,4.0699948712003865e-06,0.0019194284825023334
0,8,2,-5,2,4,-0.002359676960396333,0.0005139207856115777,0.0018458787080848657,1.225333001102051e-07,5.192799784324051e-05
0,5,2,-4,2,0,-0.0016579761203197167,0.0006184286779740842,0.0010448703139708233,5.322871625190739e-06,0.003210463383612727
0,6,2,-3,2,1,-0.0018886592089966776,0.0006883901588102036,0.0011992510625692902,-1.0179876171838558e-06,0.000539000160714355
0,5,2,-2,2,-1,-0.0016579761203197167,0.0007709839009291044,0.000894883579030094,7.891359639481711e-06,0.00475963407600827
0,8,2,-2,2,3,-0.002359676960396333,0.0007709839009291044,0.0016105693803172012,2.187632084997256e-05,0.009270896490127275
0,7,2,-1,2,1,-0.0021204201710575787,0.000894883579030094,0.0011992510625692902,-2.628552945819476e-05,0.012396377763697944
