t_yr,E_P,E_Q,E_c,E_d
16.239327607924746,3.4091126383139733e-09,3.4091126383139733e-09,6.5191165716459405e-09,8.652895421498327e-08
16.246294286435226,3.4091126383139733e-09,3.4091126383139733e-09,5.749986180411471e-09,8.203781966964489e-08
16.253260964945703,3.4091126383139733e-09,3.4091126383139733e-09,5.104544690355503e-09,7.768767878399845e-08
16.26022764345618,3.4091126383139733e-09,3.4091126383139733e-09,4.5656993366888725e-09,7.349061783437943e-08
16.26719432196666,3.4091126383139733e-09,3.4091126383139733e-09,4.1184851199734265e-09,6.94556699761266e-08
16.27416100047714,3.4091126383139733e-09,3.4091126383139733e-09,3.749954450030565e-09,6.558911733247441e-08
16.281127678987616,3.4091126383139733e-09,3.4091126383139733e-09,3.4490407988642543e-09,6.189480096933162e-08
16.288094357498096,3.4091126383139733e-09,3.4091126383139733e-09,3.206405817618653e-09,5.837442875501986e-08
16.295061036008573,3.4091126383139733e-09,3.4091126383139733e-09,3.0142778796004868e-09,5.5027873225112126e-08
16.302027714519053,3.4091126383139733e-09,3.4091126383139733e-09,2.8662884280425336e-09,5.1853453605165114e-08
16.30899439302953,3.4091126383139733e-09,3.4091126383139733e-09,2.757311132145867e-09,4.884819792278733e-08
16.31596107154001,3.4091126383139733e-09,3.4091126383139733e-09,2.683307556052873e-09,4.600808264663143e-08
16.322927750050486,3.4091126383139733e-09,3.4091126383139733e-09,2.6411819767851467e-09,4.332824857750931e-08
16.329894428560962,3.4091126383139733e-09,3.4091126383139733e-09,2.6286470410513346e-09,4.080319268372475e-08
16.336861107071442,3.4091126383139733e-09,3.4091126383139733e-09,2.644101220208726e-09,3.842693636735191e-08
16.343827785581922,3.4091126383139733e-09,3.4091126383139733e-09,2.6865184244762692e-09,3.619317120234194e-08
16.3507944640924,3.4091126383139733e-09,3.4091126383139733e-09,2.7553496881552024e-09,3.409538357903919e-08
16.357761142602875,3.4091126383139733e-09,3.4091126383139733e-09,2.850436507895034e-09,3.212695993604482e-08
16.364727821113355,3.4091126383139733e-09,3.4091126383139733e-09,2.971935185449789e-09,3.02812743882422e-08
16.371694499623835,3.4091126383139733e-09,3.4091126383139733e-09,3.1202513805972875e-09,2.8551760606285375e-08
16.378661178134312,3.4091126383139733e-09,3.4091126383139733e-09,3.2959839955428304e-09,2.6931969769906772e-08
16.38562785664479,3.4091126383139733e-09,3.4091126383139733e-09,3.499877480165024e-09,2.541561634602746e-08
16.39259453515527,3.4091126383139733e-09,3.4091126383139733e-09,3.7327816515904765e-09,2.3996613333960304e-08
16.399561213665745,3.4091126383139733e-09,3.4091126383139733e-09,3.9956181543636e-09,2.266909849020618e-08
16.406527892176225,3.4091126383139733e-09,3.4091126383139733e-09,4.289352731765566e-09,2.142745290826798e-08
16.413494570686705,3.4091126383139733e-09,3.4091126383139733e-09,4.614972547152641e-09,2.0266313186794172e-08
16.42046124919718,3.4091126383139733e-09,3.4091126383139733e-09,4.9734678512882e-09,1.918057827584377e-08
16.427427927707658,3.4091126383139733e-09,3.4091126383139733e-09,5.3658173670875244e-09,1.8165411962824343e-08
16.434394606218138,3.4091126383139733e-09,3.4091126383139733e-09,5.792976836812702e-09,1.721624183608184e-08
16.441361284728618,3.4091126383139733e-09,3.4091126383139733e-09,6.255870217503158e-09,1.6328755432097263e-08
16.448327963239095,3.4091126383139733e-09,3.4091126383139733e-09,6.755383107496632e-09,1.5498894193948414e-08
16.45529464174957,3.4091126383139733e-09,3.4091126383139733e-09,7.2923580179055924e-09,1.4722845756124048e-08
16.46226132026005,3.4091126383139733e-09,3.4091126383139733e-09,7.867591157103993e-09,1.3997034988375271e-08
16.469227998770528,3.4091126383139733e-09,3.4091126383139733e-09,8.481830451961226e-09,1.3318114166914106e-08
16.476194677281008,3.4091126383139733e-09,3.4091126383139733e-09,9.135774582183528e-09,1.268295258533144e-08
16.483161355791484,3.4091126383139733e-09,3.4091126383139733e-09,9.830072797403519e-09,1.2088625829590249e-08
16.490128034301964,3.4091126383139733e-09,3.4091126383139733e-09,1.056532535812542e-08,1.153240492654051e-08
16.49709471281244,3.4091126383139733e-09,3.4091126383139733e-09,1.1342084471636234e-08,1.101174553324864e-08
16.50406139132292,3.4091126383139733e-09,3.4091126383139733e-09,1.2160855586549414e-08,1.0524277280880064e-08
