l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a,n_m
0,2,1,-9,1,-1,-0.0009538753378151529,0.00017709054959521184,0.000758058289083616,-1.8726499136324988e-05,0.019632019399115557,3
0,3,1,-9,1,1,-0.0011860096719051476,0.00017709054959521184,0.0009785032656031902,-3.041585670674569e-05,0.025645538503819412,3
0,4,1,-9,1,3,-0.00142210207358038,0.00017709054959521184,0.0012725407985733764,2.752927458820817e-05,0.01935815656248824,3
0,5,1,-9,1,4,-0.0016579761203197167,0.00017709054959521184,0.0014878228371177796,6.9372663932746725e-06,0.004184177509104848,3
0,6,1,-9,1,5,-0.0018886592089966776,0.00017709054959521184,0.001734103264389586,2.25346049881202e-05,0.011931535811636116,3
0,11,1,-9,1,10,-0.0031193002476985927,0.00017709054959521184,0.002973321972018305,3.111227391492397e-05,0.009974119656444897,3
0,12,1,-9,1,11,-0.003382501686215069,0.00017709054959521184,0.003235253388057165,2.9842251437307583e-05,0.008822538524940185,3
0,13,1,-9,1,12,-0.0036476888013760762,0.00017709054959521184,0.003499927798231137,2.9329546450272432e-05,0.008040583516666217,3
0,14,1,-9,1,13,-0.003913251472813672,0.00017709054959521184,0.003765557199999308,2.9396276780847483e-05,0.0075119825508456846,3
0,15,1,-9,1,14,-0.004178287363000028,0.00017709054959521184,0.004030932427920738,2.9735614515922007e-05,0.007116699243627828,3
0,16,1,-9,1,15,-0.004442519754188167,0.00017709054959521184,0.004295690809337045,3.026160474409005e-05,0.006811810958310551,3
0,17,1,-9,1,16,-0.004706014722882456,0.00017709054959521184,0.00455968102508798,3.075685180073569e-05,0.006535647168969538,3
0,18,1,-9,1,17,-0.0049693743676990434,0.00017709054959521184,0.004823167543880964,3.0883725777132616e-05,0.006214811662787367,3
0,19,1,-9,1,18,-0.005233627846213401,0.00017709054959521184,0.005087181893000314,3.064459638212492e-05,0.00585532584329562,3
0,20,1,-9,1,19,-0.005499828254476584,0.00017709054959521184,0.0053527772990706515,3.003959418927931e-05,0.0054619149543130895,3
0,2,1,-8,1,-1,-0.0009538753378151529,0.0001942497109787832,0.000758058289083616,-1.5673377527536695e-06,0.0016431264030199685,3
0,3,1,-8,1,1,-0.0011860096719051476,0.0001942497109787832,0.0009785032656031902,-1.3256695323174373e-05,0.011177560889431424,3
0,5,1,-8,1,4,-0.0016579761203197167,0.0001942497109787832,0.0014878228371177796,2.409642777684599e-05,0.014533639828418845,3
0,2,1,-7,1,-1,-0.0009538753378151529,0.00021361879346884448,0.000758058289083616,1.7801744737307645e-05,0.018662548481526382,3
0,3,1,-7,1,1,-0.0011860096719051476,0.00021361879346884448,0.0009785032656031902,6.11238716688705e-06,0.005153741416854056,3
0,4,1,-7,1,2,-0.00142210207358038,0.00021361879346884448,0.0011876060720696538,-2.0877208041881774e-05,0.014680527108240485,3
0,4,1,-6,1,2,-0.00142210207358038,0.00025234878420021,0.0011876060720696538,1.7852782689483813e-05,0.012553798367325663,3
0,1,1,-5,1,-3,-0.000738948454077827,0.00030881498435276556,0.0004344394724834455,4.306002758384052e-06,0.00582720314877408,3
0,1,1,-4,1,-4,-0.000738948454077827,0.0003748425124691666,0.0003748425124691666,1.0736570860506232e-05,0.014529526114111666,3
0,2,1,-4,1,-2,-0.0009538753378151529,0.0003748425124691666,0.0006023269048774995,2.3294079531513195e-05,0.02442046524115843,3
0,5,1,-4,1,3,-0.0016579761203197167,0.0003748425124691666,0.0012725407985733764,-1.0592809277173727e-05,0.006388999906181433,3
0,6,1,-4,1,4,-0.0018886592089966776,0.0003748425124691666,0.0014878228371177796,-2.599385940973151e-05,0.013763128512496633,3
0,7,1,-4,1,5,-0.0021204201710575787,0.0003748425124691666,0.001734103264389586,-1.1474394198825958e-05,0.005411377591783142,3
0,8,1,-4,1,6,-0.002359676960396333,0.0003748425124691666,0.0019747070189232627,-1.0127429003903548e-05,0.0042918709526250315,3
0,9,1,-4,1,7,-0.0026068407810123807,0.0003748425124691666,0.002215705167770865,-1.6293100772348922e-05,0.006250132685902439,3
0,10,1,-4,1,8,-0.002860347040788969,0.0003748425124691666,0.0024629844882008973,-2.252004011890499e-05,0.007873184546408498,3
0,11,1,-4,1,9,-0.0031193002476985927,0.0003748425124691666,0.00271575402351329,-2.8703711716135828e-05,0.009201971415644682,3
0,3,1,-3,1,-1,-0.0011860096719051476,0.0004344394724834455,0.000758058289083616,6.4880896619137676e-06,0.005470520026612953,3
0,4,1,-3,1,1,-0.00142210207358038,0.0004344394724834455,0.0009785032656031902,-9.159335493744451e-06,0.0064407018764020855,3
0,11,1,-3,1,9,-0.0031193002476985927,0.0004344394724834455,0.00271575402351329,3.089324829814305e-05,0.00990390339017091,3
0,12,1,-3,1,10,-0.003382501686215069,0.0004344394724834455,0.002973321972018305,2.5259758286681408e-05,0.007467774041214571,3
0,13,1,-3,1,11,-0.0036476888013760762,0.0004344394724834455,0.003235253388057165,2.200405916453433e-05,0.006032329061687879,3
0,14,1,-3,1,12,-0.003913251472813672,0.0004344394724834455,0.003499927798231137,2.1115797900909776e-05,0.005395972645153642,3
0,15,1,-3,1,13,-0.004178287363000028,0.0004344394724834455,0.003765557199999308,2.170930948272587e-05,0.005195743518018468,3
0,16,1,-3,1,14,-0.004442519754188167,0.0004344394724834455,0.004030932427920738,2.2852146216017014e-05,0.005143960518008558,3
0,17,1,-3,1,15,-0.004706014722882456,0.0004344394724834455,0.004295690809337045,2.4115558938034645e-05,0.005124412131729106,3
0,18,1,-3,1,16,-0.0049693743676990434,0.0004344394724834455,0.00455968102508798,2.4746129872381915e-05,0.00497972743475152,3
0,19,1,-3,1,17,-0.005233627846213401,0.0004344394724834455,0.004823167543880964,2.3979170151009095e-05,0.004581749191119568,3
0,20,1,-3,1,18,-0.005499828254476584,0.0004344394724834455,0.005087181893000314,2.179311100717566e-05,0.003962507554565392,3
0,3,1,-2,1,-2,-0.0011860096719051476,0.0006023269048774995,0.0006023269048774995,1.8644137849851278e-05,0.015720055486480353,3
0,6,1,-2,1,3,-0.0018886592089966776,0.0006023269048774995,0.0012725407985733764,-1.3791505545801813e-05,0.007302273210595969,3
0,7,1,-2,1,4,-0.0021204201710575787,0.0006023269048774995,0.0014878228371177796,-3.027042906229979e-05,0.014275674923051755,3
0,8,1,-2,1,5,-0.002359676960396333,0.0006023269048774995,0.001734103264389586,-2.3246791129247386e-05,0.009851683734430681,3
0,9,1,-2,1,6,-0.0026068407810123807,0.0006023269048774995,0.0019747070189232627,-2.980685721161837e-05,0.011434091958636122,3
0,8,1,2,1,2,-0.002359676960396333,0.0011876060720696538,0.0011876060720696538,1.553518374297451e-05,0.006583606147667437,3
0,12,1,2,1,7,-0.003382501686215069,0.0011876060720696538,0.002215705167770865,2.0809553625449843e-05,0.006152119217044704,3
0,13,1,2,1,8,-0.0036476888013760762,0.0011876060720696538,0.0024629844882008973,2.9017588944746375e-06,0.0007955061553989914,3
0,14,1,2,1,9,-0.003913251472813672,0.0011876060720696538,0.00271575402351329,-9.891377230728145e-06,0.0025276620476465655,3
0,15,1,2,1,10,-0.004178287363000028,0.0011876060720696538,0.002973321972018305,-1.7359318912069273e-05,0.004154649358440778,3
0,16,1,2,1,11,-0.004442519754188167,0.0011876060720696538,0.003235253388057165,-1.9660294061347658e-05,0.004425482642550548,3
0,17,1,2,1,12,-0.004706014722882456,0.0011876060720696538,0.003499927798231137,-1.8480852581665395e-05,0.003927070710553533,3
0,18,1,2,1,13,-0.0049693743676990434,0.0011876060720696538,0.003765557199999308,-1.621109563008146e-05,0.003262200516719702,3
0,19,1,2,1,14,-0.005233627846213401,0.0011876060720696538,0.004030932427920738,-1.5089346223008844e-05,0.002883152311627619,3
0,20,1,2,1,15,-0.005499828254476584,0.0011876060720696538,0.004295690809337045,-1.6531373069885065e-05,0.00300579805495369,3
0,15,1,4,1,9,-0.004178287363000028,0.0014878228371177796,0.00271575402351329,2.5289497631041796e-05,0.0060525989320379895,3
0,16,1,4,1,10,-0.004442519754188167,0.0014878228371177796,0.002973321972018305,1.8625054947918156e-05,0.004192452927273866,3
0,17,1,4,1,11,-0.004706014722882456,0.0014878228371177796,0.003235253388057165,1.706150229248849e-05,0.0036254672577900994,3
0,18,1,4,1,12,-0.0049693743676990434,0.0014878228371177796,0.003499927798231137,1.8376267649873254e-05,0.0036979036575145313,3
0,19,1,4,1,13,-0.005233627846213401,0.0014878228371177796,0.003765557199999308,1.9752190903686573e-05,0.0037740916022482463,3
0,20,1,4,1,14,-0.005499828254476584,0.0014878228371177796,0.004030932427920738,1.8927010561933452e-05,0.0034413821098009407,3
0,15,1,5,1,8,-0.004178287363000028,0.001734103264389586,0.0024629844882008973,1.8800389590455623e-05,0.004499544420266217,3
0,16,1,5,1,9,-0.004442519754188167,0.001734103264389586,0.00271575402351329,7.337533714710069e-06,0.0016516603460890952,3
0,17,1,5,1,10,-0.004706014722882456,0.001734103264389586,0.002973321972018305,1.410513525435149e-06,0.0002997256932870798,3
0,18,1,5,1,11,-0.0049693743676990434,0.001734103264389586,0.003235253388057165,-1.771525229288251e-08,3.5648858351328354e-06,3
0,19,1,5,1,12,-0.005233627846213401,0.001734103264389586,0.003499927798231137,4.0321640732213226e-07,7.704338542410207e-05,3
0,20,1,5,1,13,-0.005499828254476584,0.001734103264389586,0.003765557199999308,-1.6779008769028658e-07,3.0508241335302403e-05,3
0,15,1,6,1,7,-0.004178287363000028,0.0019747070189232627,0.002215705167770865,1.2124823694100416e-05,0.002901864481957206,3
0,16,1,6,1,8,-0.004442519754188167,0.0019747070189232627,0.0024629844882008973,-4.82824706400653e-06,0.0010868262452754928,3
0,17,1,6,1,9,-0.004706014722882456,0.0019747070189232627,0.00271575402351329,-1.5553680445903363e-05,0.0033050641278862514,3
