l_c,n_c,l_d,n_d,kappa_m0,kappa_max,m_max,n_m,refine
12,-57,20,-190,-0.3241221896108149,0.6459054223783341,"(-3, -17, 20)",869,2
6,-27,24,-217,-0.2941122141804816,0.6096418306243713,"(0, -24, 24)",595,2
12,-57,19,-180,-0.41364552797210763,0.8142512316603301,"(-4, -15, 19)",819,2
12,-57,17,-161,-0.47339099819987773,0.9157964907590876,"(-4, -13, 17)",719,1
12,-53,6,-57,-5.507001788431282,-9.8007456232646,"(-12, 6, 6)",169,1
6,-27,23,-208,-0.2586392439226475,-0.5261319081180245,"(0, -23, 23)",569,2
12,-57,22,-209,-0.2587719743122519,0.5337760610474773,"(-3, -19, 22)",969,2
12,-57,9,-84,-1.2345828120590472,-2.1971723556116958,"(-12, 6, 6)",319,1
12,-57,16,-158,-0.49230164913805474,-0.9311750736298775,"(-4, -12, 16)",669,2
12,-57,18,-177,-0.4628569451421026,-0.9067713703764562,"(-4, -14, 18)",769,2
12,-57,13,-130,-0.6481086678835664,1.1604147949231314,"(-6, -7, 13)",511,2
12,-57,14,-139,-0.5123899170077053,0.9456945979156918,"(-5, -9, 14)",569,2
12,-57,17,-168,-0.5316269102455671,1.028456520397164,"(-4, -13, 17)",719,1
12,-57,19,-186,-0.37244503371825843,0.733149053774682,"(-4, -15, 19)",819,2
6,-27,23,-207,-0.24652633382334896,-0.5014914536891134,"(0, -23, 23)",569,2
12,-57,23,-223,-0.2479512886719387,-0.5166665379674665,"(-3, -20, 23)",1019,2
12,-57,10,-92,-1.4169720786563607,-2.5217683653840455,"(-12, 6, 6)",369,2
6,-27,22,-198,-0.30768583522606696,0.6132044919605246,"(0, -22, 22)",543,2
6,-27,3,-28,-3.887161530898315,-5.907974036203444,"(-6, 3, 3)",49,1
12,-53,14,-127,-0.5261472125433589,0.9710858080823076,"(-5, -9, 14)",569,2
12,-57,12,-112,-0.9707761437696629,-1.7276787638252125,"(-12, 6, 6)",469,2
12,-57,15,-149,-0.5512174385894592,-1.0294620031019617,"(-5, -10, 15)",619,2
12,-57,25,-242,-0.2360716883101433,-0.49669317556543924,"(-3, -22, 25)",1119,2
