gyre [9.1.1]
------------

OpenMP Threads   : 12
Input filename   : gyre_ad_wide_hi.in

Model Init
----------

Reading from MESA file
   File name ../mesa/LOGS/profile331.data.GYRE
   File version 1.01
   Read 7137 points
   No need to add central point

Mode Search
-----------

Mode parameters
   l : 16
   m : 0

Building frequency grid (REAL axis)
   added scan interval :  0.5234E+00 ->  0.2094E+01 (3000 points, INVERSE)

Building spatial grid
   Scaffold grid from model
   Split 266 subinterval(s) in iteration 1
   Split 25 subinterval(s) in iteration 2
   Split 0 subinterval(s) in iteration 3
   Final grid has 1 segment(s) and 7428 point(s):
      Segment 1 : x range 0.0000 -> 1.0012 (1 -> 7428)

Starting search (adiabatic)

Scanning frequencies
  Time elapsed :     2.085 s

Finding roots
  Time elapsed :      0.429 s

Processing modes
   id    l     m    n_pg    n_p    n_g       Re(omega)       Im(omega)        chi n_iter
  200   17     0    -133      0    133  0.75426569E+00  0.00000000E+00 0.8376E-13      5
  201   17     0    -132      0    132  0.76034316E+00  0.00000000E+00 0.1037E-12      6
  202   17     0    -131      0    131  0.76601556E+00  0.00000000E+00 0.1243E-12      6
  203   17     0    -130      0    130  0.77120527E+00  0.00000000E+00 0.1667E-12      5
  204   17     0    -129      0    129  0.77715436E+00  0.00000000E+00 0.1478E-12      5
  205   17     0    -128      0    128  0.78359099E+00  0.00000000E+00 0.2406E-12      6
  206   17     0    -127      0    127  0.78952943E+00  0.00000000E+00 0.1200E-12      5
  207   17     0    -126      0    126  0.79504411E+00  0.00000000E+00 0.7949E-13      5
  208   17     0    -125      0    125  0.80144047E+00  0.00000000E+00 0.5202E-12      5
  209   17     0    -124      0    124  0.80828953E+00  0.00000000E+00 0.1612E-12      6
  210   17     0    -123      0    123  0.81453610E+00  0.00000000E+00 0.3368E-12      6
  211   17     0    -122      0    122  0.82038258E+00  0.00000000E+00 0.1461E-12      6
  212   17     0    -121      0    121  0.82723670E+00  0.00000000E+00 0.1471E-12      5
  213   17     0    -120      0    120  0.83454441E+00  0.00000000E+00 0.6857E-13      6
  214   17     0    -119      0    119  0.84116877E+00  0.00000000E+00 0.1094E-12      6
  215   17     0    -118      0    118  0.84738177E+00  0.00000000E+00 0.7230E-13      5
  216   17     0    -117      0    117  0.85471180E+00  0.00000000E+00 0.1243E-12      5
  217   17     0    -116      0    116  0.86251144E+00  0.00000000E+00 0.8245E-14      6
  218   17     0    -115      0    115  0.86953881E+00  0.00000000E+00 0.9719E-13      6
  219   17     0    -114      0    114  0.87615134E+00  0.00000000E+00 0.1775E-13      5
  220   17     0    -113      0    113  0.88400626E+00  0.00000000E+00 0.6146E-12      5
  221   17     0    -112      0    112  0.89234542E+00  0.00000000E+00 0.4420E-12      6
  222   17     0    -111      0    111  0.89981233E+00  0.00000000E+00 0.2974E-12      6
  223   17     0    -110      0    110  0.90683050E+00  0.00000000E+00 0.9568E-14      6
  224   17     0    -109      0    109  0.91522766E+00  0.00000000E+00 0.2257E-13      5
  225   17     0    -108      0    108  0.92415672E+00  0.00000000E+00 0.8615E-13      6
  226   17     0    -107      0    107  0.93216017E+00  0.00000000E+00 0.1596E-13      6
  227   17     0    -106      0    106  0.93962109E+00  0.00000000E+00 0.1615E-12      6
  228   17     0    -105      0    105  0.94857664E+00  0.00000000E+00 0.1828E-12      5
  229   17     0    -104      0    104  0.95817790E+00  0.00000000E+00 0.1165E-12      6
  230   17     0    -103      0    103  0.96684692E+00  0.00000000E+00 0.2047E-13      5
  231   17     0    -102      0    102  0.97476011E+00  0.00000000E+00 0.3372E-13      6
  232   17     0    -101      0    101  0.98428559E+00  0.00000000E+00 0.1556E-12      5
  233   17     0    -100      0    100  0.99465055E+00  0.00000000E+00 0.3018E-12      6
  234   17     0     -99      0     99  0.10041229E+01  0.00000000E+00 0.5442E-13      6
  235   17     0     -98      0     98  0.10125607E+01  0.00000000E+00 0.2793E-12      6
  236   17     0     -97      0     97  0.10227077E+01  0.00000000E+00 0.4139E-12      5
  237   17     0     -96      0     96  0.10339415E+01  0.00000000E+00 0.2173E-12      6
  238   17     0     -95      0     95  0.10443393E+01  0.00000000E+00 0.4085E-12      6
  239   17     0     -94      0     94  0.10534231E+01  0.00000000E+00 0.8246E-13      5
  240   17     0     -93      0     93  0.10643110E+01  0.00000000E+00 0.4621E-12      6
  241   17     0     -92      0     92  0.10765520E+01  0.00000000E+00 0.6691E-14      6
  242   17     0     -91      0     91  0.10880026E+01  0.00000000E+00 0.2585E-13      6
  243   17     0     -90      0     90  0.10978393E+01  0.00000000E+00 0.1514E-12      6
  244   17     0     -89      0     89  0.11095655E+01  0.00000000E+00 0.2157E-12      6
  245   17     0     -88      0     88  0.11229362E+01  0.00000000E+00 0.2567E-12      5
  246   17     0     -87      0     87  0.11355916E+01  0.00000000E+00 0.1760E-12      6
  247   17     0     -86      0     86  0.11463047E+01  0.00000000E+00 0.1975E-12      5
  248   17     0     -85      0     85  0.11589420E+01  0.00000000E+00 0.4748E-13      5
  249   17     0     -84      0     84  0.11735880E+01  0.00000000E+00 0.2506E-12      6
  250   17     0     -83      0     83  0.11876111E+01  0.00000000E+00 0.4621E-14      6
  251   17     0     -82      0     82  0.11992761E+01  0.00000000E+00 0.3121E-12      6
  252   17     0     -81      0     81  0.12129369E+01  0.00000000E+00 0.1564E-12      6
  253   17     0     -80      0     80  0.12290331E+01  0.00000000E+00 0.2011E-12      6
  254   17     0     -79      0     79  0.12445408E+01  0.00000000E+00 0.1007E-12      5
  255   17     0     -78      0     78  0.12572740E+01  0.00000000E+00 0.4680E-12      5
  256   17     0     -77      0     77  0.12721863E+01  0.00000000E+00 0.4154E-13      6
  257   17     0     -76      0     76  0.12899518E+01  0.00000000E+00 0.6397E-14      6
  258   17     0     -75      0     75  0.13071397E+01  0.00000000E+00 0.1130E-12      6
  259   17     0     -74      0     74  0.13211094E+01  0.00000000E+00 0.3329E-12      6
  260   17     0     -73      0     73  0.13374306E+01  0.00000000E+00 0.5207E-13      6
  261   17     0     -72      0     72  0.13570255E+01  0.00000000E+00 0.7619E-13      6
  262   17     0     -71      0     71  0.13759648E+01  0.00000000E+00 0.3308E-13      6
  263   17     0     -70      0     70  0.13912126E+01  0.00000000E+00 0.1436E-12      6
  264   17     0     -69      0     69  0.14092296E+01  0.00000000E+00 0.1649E-12      6
  265   17     0     -68      0     68  0.14309559E+01  0.00000000E+00 0.1136E-12      6
  266   17     0     -67      0     67  0.14519531E+01  0.00000000E+00 0.9762E-13      6
  267   17     0     -66      0     66  0.14686484E+01  0.00000000E+00 0.6081E-13      6
  268   17     0     -65      0     65  0.14886317E+01  0.00000000E+00 0.1740E-12      6
  269   17     0     -64      0     64  0.15128766E+01  0.00000000E+00 0.7171E-13      6
  270   17     0     -63      0     63  0.15360811E+01  0.00000000E+00 0.5269E-13      6
  271   17     0     -62      0     62  0.15542467E+01  0.00000000E+00 0.1123E-12      6
  272   17     0     -61      0     61  0.15768803E+01  0.00000000E+00 0.4033E-13      6
  273   17     0     -60      0     60  0.16041119E+01  0.00000000E+00 0.9958E-13      5
  274   17     0     -59      0     59  0.16296616E+01  0.00000000E+00 0.1125E-12      6
  275   17     0     -58      0     58  0.16497182E+01  0.00000000E+00 0.7425E-13      6
  276   17     0     -57      0     57  0.16756057E+01  0.00000000E+00 0.5512E-13      6
  277   17     0     -56      0     56  0.17062438E+01  0.00000000E+00 0.2426E-13      6
  Time elapsed :      0.804 s

Mode Search
-----------

Mode parameters
   l : 18
   m : 0

Building frequency grid (REAL axis)
   added scan interval :  0.5234E+00 ->  0.2094E+01 (3000 points, INVERSE)

Building spatial grid
   Scaffold grid from model
   Split 274 subinterval(s) in iteration 1
   Split 28 subinterval(s) in iteration 2
   Split 0 subinterval(s) in iteration 3
   Final grid has 1 segment(s) and 7439 point(s):
      Segment 1 : x range 0.0000 -> 1.0012 (1 -> 7439)

Starting search (adiabatic)

Scanning frequencies
  Time elapsed :     0.868 s

Finding roots
  Time elapsed :      0.193 s

Processing modes
   id    l     m    n_pg    n_p    n_g       Re(omega)       Im(omega)        chi n_iter
  312   18     0    -180      0    180  0.59194042E+00  0.00000000E+00 0.3131E-12      6
  313   18     0    -179      0    179  0.59536494E+00  0.00000000E+00 0.5526E-12      6
  314   18     0    -178      0    178  0.59854694E+00  0.00000000E+00 0.1287E-12      6
  315   18     0    -177      0    177  0.60171920E+00  0.00000000E+00 0.6374E-12      5
  316   18     0    -176      0    176  0.60521361E+00  0.00000000E+00 0.4221E-12      6
  317   18     0    -175      0    175  0.60876283E+00  0.00000000E+00 0.5807E-12      6
  318   18     0    -174      0    174  0.61207302E+00  0.00000000E+00 0.2526E-12      6
  319   18     0    -173      0    173  0.61543042E+00  0.00000000E+00 0.2925E-12      5
  320   18     0    -172      0    172  0.61911154E+00  0.00000000E+00 0.2324E-12      6
  321   18     0    -171      0    171  0.62281091E+00  0.00000000E+00 0.4282E-12      6
  322   18     0    -170      0    170  0.62623915E+00  0.00000000E+00 0.7183E-13      6
  323   18     0    -169      0    169  0.62975374E+00  0.00000000E+00 0.2650E-12      5
  324   18     0    -168      0    168  0.63362247E+00  0.00000000E+00 0.1215E-12      6
  325   18     0    -167      0    167  0.63748948E+00  0.00000000E+00 0.3419E-12      6
  326   18     0    -166      0    166  0.64106587E+00  0.00000000E+00 0.6860E-13      5
  327   18     0    -165      0    165  0.64477267E+00  0.00000000E+00 0.7527E-13      5
  328   18     0    -164      0    164  0.64885534E+00  0.00000000E+00 0.3181E-12      6
  329   18     0    -163      0    163  0.65289916E+00  0.00000000E+00 0.1902E-12      6
  330   18     0    -162      0    162  0.65659632E+00  0.00000000E+00 0.3220E-12      6
  331   18     0    -161      0    161  0.66048596E+00  0.00000000E+00 0.1148E-12      5
  332   18     0    -160      0    160  0.66480414E+00  0.00000000E+00 0.1712E-12      6
  333   18     0    -159      0    159  0.66906062E+00  0.00000000E+00 0.9724E-13      6
  334   18     0    -158      0    158  0.67292648E+00  0.00000000E+00 0.8800E-13      6
  335   18     0    -157      0    157  0.67701883E+00  0.00000000E+00 0.2272E-12      5
  336   18     0    -156      0    156  0.68157383E+00  0.00000000E+00 0.7900E-12      5
  337   18     0    -155      0    155  0.68603986E+00  0.00000000E+00 0.2194E-12      6
  338   18     0    -154      0    154  0.69006446E+00  0.00000000E+00 0.6608E-13      5
  339   18     0    -153      0    153  0.69437315E+00  0.00000000E+00 0.4340E-12      5
  340   18     0    -152      0    152  0.69919694E+00  0.00000000E+00 0.1447E-12      6
  341   18     0    -151      0    151  0.70392352E+00  0.00000000E+00 0.7474E-13      6
  342   18     0    -150      0    150  0.70815121E+00  0.00000000E+00 0.2905E-12      6
  343   18     0    -149      0    149  0.71266667E+00  0.00000000E+00 0.2043E-12      5
  344   18     0    -148      0    148  0.71774122E+00  0.00000000E+00 0.2018E-12      6
  345   18     0    -147      0    147  0.72270422E+00  0.00000000E+00 0.1206E-12      6
  346   18     0    -146      0    146  0.72715529E+00  0.00000000E+00 0.3571E-12      6
  347   18     0    -145      0    145  0.73194867E+00  0.00000000E+00 0.1634E-12      5
  348   18     0    -144      0    144  0.73731007E+00  0.00000000E+00 0.2794E-12      6
  349   18     0    -143      0    143  0.74251758E+00  0.00000000E+00 0.2664E-13      6
  350   18     0    -142      0    142  0.74720141E+00  0.00000000E+00 0.2016E-12      5
  351   18     0    -141      0    141  0.75229742E+00  0.00000000E+00 0.2808E-12      5
  352   18     0    -140      0    140  0.75795923E+00  0.00000000E+00 0.3959E-13      6
  353   18     0    -139      0    139  0.76340546E+00  0.00000000E+00 0.2568E-12      6
  354   18     0    -138      0    138  0.76833903E+00  0.00000000E+00 0.2914E-12      5
  355   18     0    -137      0    137  0.77379622E+00  0.00000000E+00 0.2424E-12      5
  356   18     0    -136      0    136  0.77981518E+00  0.00000000E+00 0.1497E-12      6
  357   18     0    -135      0    135  0.78553834E+00  0.00000000E+00 0.1155E-12      6
  358   18     0    -134      0    134  0.79070577E+00  0.00000000E+00 0.8175E-13      5
  359   18     0    -133      0    133  0.79652008E+00  0.00000000E+00 0.2425E-12      5
  360   18     0    -132      0    132  0.80292483E+00  0.00000000E+00 0.6469E-13      6
  361   18     0    -131      0    131  0.80896939E+00  0.00000000E+00 0.1801E-12      6
  362   18     0    -130      0    130  0.81443380E+00  0.00000000E+00 0.2238E-12      5
